[description:"how to create a custom launchctl service by brew services" entry:"1631811376" modified:"1631811376" status:"pending" uuid:"b5f6625c-eb60-409d-a8c7-409e46f5162d"]
[description:"custom homebrew tap" entry:"1631811386" modified:"1631811386" status:"pending" uuid:"507d98fe-1288-4bd4-8942-8e6243305ef6"]
[description:"deploy taskwarrior-data repo to work machine" entry:"1631811395" modified:"1631811395" status:"pending" uuid:"44ab6a7b-75b8-4fbc-a92a-93dc887acf37"]
[description:"custom asciinema asset in jekyll markdown" entry:"1632023312" modified:"1632023312" status:"pending" uuid:"4525341d-18c9-48e8-a8cf-abd1385fc9fd"]
